date,fx_rate,DDR1_nominal_USD,DDR1_real_USD,DDR2_nominal_USD,DDR2_real_USD,DDR3_nominal_USD,DDR3_real_USD,DDR4_nominal_USD,DDR4_real_USD,DDR5_nominal_USD,DDR5_real_USD
2009-12-01,1.0,1.5704918032786885,2.3598383094737003,2.548688524590164,3.8296874945081028,2.7398360655737704,4.116907898354275,9.0,13.523499289155131,5.99,9.000640082448804
2010-01-01,1.0,1.54,2.3125207827558305,2.63,3.949304973147944,2.75,4.129501397778268,9.0,13.514731847274334,5.99,8.994804862797029
2010-02-01,1.0,1.54,2.314723882898183,2.6146314487632507,3.9299674411876446,2.758752296819788,4.1465907976941425,9.0,13.527607107846523,5.99,9.003374064000075
2010-03-01,1.0,1.54,2.313957111243001,2.6007501766784453,3.9078080297997273,2.766657597173145,4.1570954684112165,9.0,13.52312597479676,5.99,9.00039162100362
2010-04-01,1.0,1.54,2.3134249297387806,2.585381625441696,3.883822276094409,2.775409893992933,4.169287298056439,9.0,13.520015823148716,5.99,8.998321642295647
2010-05-01,1.0,1.54,2.314628008652032,2.5705088339222613,3.8634881451194416,2.7838798586572437,4.18418590491579,9.0,13.527046803810576,5.99,9.00300115053615
2010-06-01,1.0,1.54,2.3155977697871535,2.555140282685512,3.8419981429090186,2.792632155477032,4.199099214973057,9.0,13.532714239015833,5.99,9.00677314352276
2010-07-01,1.0,1.54,2.311277406309598,2.5402674911660776,3.812508349555144,2.801102120141343,4.203976651330259,9.0,13.507465361549599,5.99,8.989968612853566
2010-08-01,1.0,1.54,2.3079047186391524,2.5248989399293285,3.783913102305124,2.8098544169611306,4.210958615320557,9.0,13.487754849189852,5.99,8.97685017184969
2010-09-01,1.0,1.54,2.304182888558012,2.5095303886925793,3.754816220741414,2.8186067137809188,4.217263220434235,9.0,13.4660038941702,5.99,8.962373702897722
2010-10-01,1.0,1.54,2.296187915173374,2.494657597173145,3.7196120955353393,2.8270766784452297,4.215259288515857,9.0,13.419280023740498,5.99,8.931276371356176
2010-11-01,1.0,1.54,2.2903844437360537,2.4792890459363957,3.6873539365830665,2.835828975265018,4.2176224480798385,9.0,13.38536363222369,5.99,8.908703128557768
2010-12-01,1.0,1.54,2.2812217424434853,2.464416254416961,3.650571390913706,2.844298939929329,4.21329648297126,9.0,13.331815377916472,5.99,8.873063790413296
2011-01-01,1.0,1.54,2.2738475588529163,2.449047703180212,3.616078663240693,2.8530512367491165,4.212599733743034,9.0,13.28871949978977,5.99,8.844381089304527
2011-02-01,1.0,1.54,2.2665617535985008,2.433679151943463,3.581872783327978,2.8618035335689047,4.211983399675534,9.0,13.246140118432795,5.99,8.816042145490272
2011-03-01,1.0,1.54,2.254895940747649,2.419797879858657,3.543111958911073,2.8697088339222616,4.201879740739595,9.0,13.177963290083662,5.99,8.770666678622348
2011-04-01,1.0,1.54,2.2443606895351484,2.404429328621908,3.5041601726781813,2.8784611307420493,4.195003252072953,9.0,13.116393640140478,5.99,8.729688656049051
2011-05-01,1.0,1.54,2.2372424223552754,2.3895565371024734,3.4714397762480655,2.8869310954063603,4.194003063025775,9.0,13.074793377400958,5.99,8.702001370070194
2011-06-01,1.0,1.54,2.2372424223552754,2.374187985865724,3.449113039366899,2.8956833922261485,4.206718004414266,9.0,13.074793377400958,5.99,8.702001370070194
2011-07-01,1.0,1.54,2.231396082433062,2.35931519434629,3.4185497934344866,2.9041533568904594,4.207997677500128,9.0,13.040626455777634,5.99,8.679261385567559
2011-08-01,1.0,1.54,2.22437936189221,2.3439466431095406,3.385601648252849,2.912905653710247,4.207407285228708,9.0,12.999619647422007,5.99,8.65196907645087
2011-09-01,1.0,1.54,2.2195594822526337,2.3285780918727914,3.356115314274025,2.9216579505300353,4.21090494025827,9.0,12.971451519658247,5.99,8.6332216225281
2011-10-01,1.0,1.54,2.2180618302094817,2.313705300353357,3.33242948900464,2.9301279151943462,4.220262913197315,9.0,12.96269900771775,5.99,8.627396339581036
2011-11-01,1.0,1.54,2.213970744247675,2.298336749116608,3.3041885214113487,2.9388802120141344,4.225061565095907,9.0,12.938790063785111,5.99,8.611483609119203
2011-12-01,1.0,1.54,2.213444589676221,2.283463957597173,3.2820265861455287,2.9473501766784453,4.236231365227376,9.0,12.935715134471423,5.99,8.609437072831536
2012-01-01,1.0,1.54,2.2074311145442893,2.268095406360424,3.2510807602305025,2.956102473498233,4.237267907650217,9.0,12.900571448635457,5.99,8.586046997480711
2012-02-01,1.0,1.54,2.2027229129895898,2.252726855123675,3.222164324992142,2.9648547703180212,4.240749049523372,9.0,12.873055985004095,5.99,8.567733927797171
2012-03-01,1.0,1.54,2.198121211326577,2.238349823321555,3.19491183442351,2.973042402826855,4.243576342744833,9.0,12.846162923337138,5.99,8.549835101198829
2012-04-01,1.0,1.54,2.1944766500717754,2.2229812720848057,3.167714607231791,2.981794699646643,4.249012236157364,9.0,12.824863539380505,5.99,8.535659177876582
2012-05-01,1.0,1.54,2.1990246291203386,2.208108480565371,3.153042163982298,2.990264664310954,4.2699127561091235,9.0,12.851442637716264,5.99,8.553349044435603
2012-06-01,1.0,1.54,2.2008433249899357,2.192739929328622,3.1336863875985723,2.9990169611307422,4.285952247036491,9.0,12.862071379811313,5.99,8.56042306278553
2012-07-01,1.0,1.54,2.2002078831094973,2.177867137809187,3.1115327564759037,3.007486925795053,4.296815871742224,9.0,12.858357758432128,5.99,8.557951441445383
2012-08-01,1.0,1.54,2.187499543315443,2.162498586572438,3.0717303055503242,3.016239222614841,4.284429819480579,9.0,12.784088240155187,5.99,8.50852095094773
2012-09-01,1.0,1.54,2.1771119624266824,2.147130035335689,3.035417197931788,3.024991519434629,4.276457937143115,9.0,12.723381598597495,5.99,8.468117308399888
2012-10-01,1.0,1.54,2.171256529584956,2.1322572438162544,3.0062840671369244,3.03346148409894,4.276898087398893,9.0,12.689161536535456,5.99,8.445341955983043
2012-11-01,1.0,1.54,2.1749089509576263,2.116888692579505,2.9896364712156833,3.0422137809187277,4.296453235614795,9.0,12.710506856245868,5.99,8.459548452101416
2012-12-01,1.0,1.54,2.175172324313103,2.1020159010600707,2.9689914371765815,3.0506837455830387,4.308936917937702,9.0,12.712046051180472,5.99,8.460572871841226
2013-01-01,1.0,1.54,2.1708722844970842,2.0866473498233216,2.9414577267861954,3.059436042402827,4.31275643548295,9.0,12.686915948359584,5.99,8.443847392297101
2013-02-01,1.0,1.54,2.1591482675573226,2.0712787985865724,2.9040246945431236,3.0681883392226146,4.301736063098758,9.0,12.618398966244094,5.99,8.398245534200235
2013-03-01,1.0,1.54,2.165236738102823,2.0573975265017665,2.8926965644568194,3.076093639575972,4.324981141723583,9.0,12.653980936964551,5.99,8.421927312490851
2013-04-01,1.0,1.54,2.169767166960746,2.042028975265018,2.877095730202943,3.0848459363957597,4.346361966184284,9.0,12.680457469251113,5.99,8.439548915646018
2013-05-01,1.0,1.54,2.1688689179923504,2.027156183745583,2.854958466780379,3.0933159010600706,4.356491371000446,9.0,12.675207962292955,5.99,8.43605507712609
2013-06-01,1.0,1.54,2.1637183849943,2.0117876325088337,2.8265856410152725,3.1020681978798588,4.358442851466744,9.0,12.645107444771881,5.99,8.41602151046484
2013-07-01,1.0,1.54,2.1594912838127955,1.9969148409893993,2.800207917943521,3.1105381625441697,4.361805227260521,9.0,12.620403606698154,5.99,8.399579733791327
2013-08-01,1.0,1.54,2.1543482283599484,1.9815462897526501,2.7720394407414615,3.1192904593639574,4.363660957708332,9.0,12.59034678911658,5.99,8.37957525186759
2013-09-01,1.0,1.54,2.153536464220875,1.966177738515901,2.7495035422294345,3.1280427561837456,4.37425593317121,9.0,12.585602712979139,5.99,8.376417805638338
2013-10-01,1.0,1.54,2.152384441239531,1.9513049469964665,2.7272457194993005,3.1365127208480565,4.383754013054043,9.0,12.578870111140118,5.99,8.371936885081034
2013-11-01,1.0,1.54,2.1484217001281505,1.9359363957597173,2.700784261505231,3.1452650176678443,4.387893257539965,9.0,12.555711234515165,5.99,8.356523366082872
2013-12-01,1.0,1.54,2.142755891086789,1.9210636042402827,2.6729677630768087,3.153734982332155,4.3881066313757895,9.0,12.522599363494221,5.99,8.334485576370044
2014-01-01,1.0,1.54,2.13757403692496,1.9056950530035337,2.6451716023355125,3.1624872791519434,4.389643311701723,9.0,12.492315800210804,5.99,8.314330182584747
